;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi MSCI USA Ex Mega Cap UCITS ETF Acc;;;;;
;Codice ISIN;IE000XL4IXU1;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 21/05/2025;43,78 mln USD;;;;;
;Valuta di riferimento;USD;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 21/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;US5128073062;LAM RESEARCH CORP;EQUITY;USD; 0.47%;Information Technology;Stati Uniti
;IE00BTN1Y115;MEDTRONIC PLC;EQUITY;USD; 0.47%;Sanità;Stati Uniti
;US4824801009;KLA CORP;EQUITY;USD; 0.46%;Information Technology;Stati Uniti
;US0320951017;AMPHENOL CORP CL-A;EQUITY;USD; 0.45%;Information Technology;Stati Uniti
;US12572Q1058;CME GROUP INC;EQUITY;USD; 0.45%;Finanziari;Stati Uniti
;US02209S1033;ALTRIA GROUP INC;EQUITY;USD; 0.44%;Beni di prima necessità;Stati Uniti
;US45866F1049;INTERCONTINENTAL EXCHANGE INC;EQUITY;USD; 0.44%;Finanziari;Stati Uniti
;US03027X1000;AMERICAN TOWER CORP CL A;EQUITY;USD; 0.44%;Immobiliare;Stati Uniti
;US09260D1072;BLACKSTONE INC;EQUITY;USD; 0.44%;Finanziari;Stati Uniti
;US0404132054;ARISTA NETWORKS INC;EQUITY;USD; 0.43%;Information Technology;Stati Uniti
;US8425871071;SOUTHERN CO/THE;EQUITY;USD; 0.43%;Beni di pubblica utilità;Stati Uniti
;US74340W1036;PROLOGIS INC;EQUITY;USD; 0.43%;Immobiliare;Stati Uniti
;IE00BK9ZQ967;TRANE TECHNOLOGIES PLC;EQUITY;USD; 0.42%;Industrali;Stati Uniti
;US8552441094;STARBUCKS CORP;EQUITY;USD; 0.41%;Beni voluttuari;Stati Uniti
;US94106L1098;WASTE MANAGEMENT INC;EQUITY;USD; 0.41%;Industrali;Stati Uniti
;US1101221083;BRISTOL-MYERS SQUIBB CO;EQUITY;USD; 0.41%;Sanità;Stati Uniti
;US95040Q1040;WELLTOWER INC;EQUITY;USD; 0.41%;Immobiliare;Stati Uniti
