;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 23/05/2025;12.154,63 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 23/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;GB0007188757;RIO TINTO PLC (GBR);EQUITY;GBP; 0.51%;Materiali;Regno Unito
;GB00BD6K4575;COMPASS GROUP PLC GBP;EQUITY;GBP; 0.50%;Beni voluttuari;Regno Unito
;FR001400T5U9;AIR LIQUIDE PRIME DE FIDELITE 2027;EQUITY;EUR; 0.50%;Materiali;Francia
;GB0008706128;LLOYDS BANKING GROUP PLC;EQUITY;GBP; 0.49%;Finanziari;Regno Unito
;DE000ENER6Y0;SIEMENS ENERGY AG;EQUITY;EUR; 0.49%;Industrali;Germania
;GB0031348658;BARCLAYS PLC;EQUITY;GBP; 0.48%;Finanziari;Regno Unito
;DE0005810055;DEUTSCHE BOERSE AG;EQUITY;EUR; 0.48%;Finanziari;Germania
;CH0012214059;HOLCIM LTD;EQUITY;CHF; 0.47%;Materiali;Svizzera
;GB0002374006;DIAGEO PLC;EQUITY;GBP; 0.47%;Beni di prima necessità;Regno Unito
;ES0148396007;INDUSTRIA DE DISENO TEXTIL;EQUITY;EUR; 0.45%;Beni voluttuari;Spagna
;GB00BM8PJY71;NATWEST GROUP PLC;EQUITY;GBP; 0.43%;Finanziari;Regno Unito
;NL0011585146;FERRARI NV MILAN;EQUITY;EUR; 0.43%;Beni voluttuari;Italia
;FR0000120644;DANONE;EQUITY;EUR; 0.43%;Beni di prima necessità;Francia
;FR0000125007;COMPAGNIE DE SAINT GOBAIN;EQUITY;EUR; 0.43%;Industrali;Francia
;FR001400UH43;L OREAL PRIME DE FIDELITE 2027;EQUITY;EUR; 0.42%;Beni di prima necessità;Francia
;GB00B1YW4409;3I GROUP PLC;EQUITY;GBP; 0.42%;Finanziari;Regno Unito
;NL0012969182;ADYEN NV;EQUITY;EUR; 0.42%;Finanziari;Paesi Bassi
;DE0005140008;DEUTSCHE BANK AG NAMEN;EQUITY;EUR; 0.41%;Finanziari;Germania
;SE0015811963;INVESTOR AB-B SHS;EQUITY;SEK; 0.41%;Finanziari;Svezia
;CH0126881561;SWISS RE AG;EQUITY;CHF; 0.40%;Finanziari;Svizzera
;DE0006231004;INFINEON TECHNOLOGIES AG;EQUITY;EUR; 0.38%;Information Technology;Germania
;CH0013841017;LONZA GROUP AG-REG;EQUITY;CHF; 0.38%;Sanità;Svizzera
;FI4000297767;NORDEA BANK ABP;EQUITY;EUR; 0.37%;Finanziari;Finlandia
;GB00B19NLV48;EXPERIAN PLC;EQUITY;GBP; 0.37%;Industrali;Regno Unito
;DK0060079531;DSV A/S (DKK);EQUITY;DKK; 0.36%;Industrali;Dinamarca
;GB00BMX86B70;HALEON PLC;EQUITY;GBP; 0.36%;Sanità;Regno Unito
;GB00B24CGK77;RECKITT BENCKISER GROUP PLC;EQUITY;GBP; 0.35%;Beni di prima necessità;Regno Unito
