;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;
;Codice ISIN;LU0908500753;;;;
;Indice;STOXX Europe 600 (Net Return) EUR;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;EUR;;;;
;;;;;;
;Data di fusione;08/02/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;03/04/2013;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;25/08/2023; 203.94;5879778 542.72;;;
;24/08/2023; 204.02;5871803 407.63;;;
;23/08/2023; 204.82;5894655 132.30;;;
;22/08/2023; 204.04;5857859 348.97;;;
;21/08/2023; 202.66;5818437 300.78;;;
;18/08/2023; 202.56;5815631 031.27;;;
;17/08/2023; 203.80;5851182 117.81;;;
;16/08/2023; 205.58;5902293 471.42;;;
;15/08/2023; 205.68;5905200 156.42;;;
;14/08/2023; 207.64;5940594 916.07;;;
;11/08/2023; 207.32;5931563 939.78;;;
;10/08/2023; 209.60;5996791 408.77;;;
;09/08/2023; 207.73;5943292 406.41;;;
;08/08/2023; 206.82;5917150 009.11;;;
;07/08/2023; 207.32;5931581 891.25;;;
;04/08/2023; 207.13;5926174 863.54;;;
;03/08/2023; 206.52;5908737 273.07;;;
;02/08/2023; 207.76;5944242 829.59;;;
;01/08/2023; 210.67;6027291 128.96;;;
;31/07/2023; 212.56;6081262 708.41;;;
;28/07/2023; 212.31;6074127 982.26;;;
;27/07/2023; 212.75;6086518 796.32;;;
;26/07/2023; 209.87;6004301 346.01;;;
;25/07/2023; 211.00;6036640 514.33;;;
;24/07/2023; 209.98;6007672 477.79;;;
;21/07/2023; 209.80;6002555 568.94;;;
;20/07/2023; 209.13;5983458 097.99;;;
;19/07/2023; 208.25;5958247 839.34;;;
;18/07/2023; 207.70;5942384 632.59;;;
;17/07/2023; 206.42;5905671 110.59;;;
;14/07/2023; 207.73;5943220 757.56;;;
;13/07/2023; 207.97;5949987 081.93;;;
;12/07/2023; 206.67;5912972 206.75;;;
;11/07/2023; 203.59;5824684 847.00;;;
;10/07/2023; 202.13;5783173 684.33;;;
;07/07/2023; 201.76;5772663 201.50;;;
;06/07/2023; 201.52;5765777 164.55;;;
;05/07/2023; 206.34;5903728 290.14;;;
;04/07/2023; 207.86;5947291 925.60;;;
;03/07/2023; 207.68;5942138 812.90;;;
;30/06/2023; 208.07;5953359 707.81;;;
;29/06/2023; 205.68;5885003 043.84;;;
;28/06/2023; 205.39;5876721 846.92;;;
;27/06/2023; 203.97;5836036 795.98;;;
;26/06/2023; 203.86;5832868 562.18;;;
;23/06/2023; 204.05;5838126 934.29;;;
;22/06/2023; 204.75;5858474 248.68;;;
;21/06/2023; 205.75;5886891 293.16;;;
;20/06/2023; 206.75;5915613 907.78;;;
;19/06/2023; 207.97;5950436 417.51;;;
;16/06/2023; 210.10;6011170 972.89;;;
;15/06/2023; 209.00;5979796 863.65;;;
;14/06/2023; 209.28;5987752 080.63;;;
;13/06/2023; 208.53;5942565 429.62;;;
;12/06/2023; 207.32;5908332 242.61;;;
;09/06/2023; 206.95;5897452 837.14;;;
;08/06/2023; 207.26;5906545 386.77;;;
;07/06/2023; 207.27;5906721 830.13;;;
;06/06/2023; 207.65;5917729 626.06;;;
;05/06/2023; 206.84;5894725 978.59;;;
;02/06/2023; 207.82;5922436 240.48;;;
;01/06/2023; 204.68;5833112 086.77;;;
;31/05/2023; 203.06;5737103 107.27;;;
;30/05/2023; 205.23;5783270 493.91;;;
;29/05/2023; 206.96;5832034 334.65;;;
;26/05/2023; 207.19;5832077 043.77;;;
;25/05/2023; 204.81;5765290 656.94;;;
;24/05/2023; 205.43;5782770 162.82;;;
;23/05/2023; 209.24;5889705 233.13;;;
;22/05/2023; 210.48;5924636 546.86;;;
;19/05/2023; 210.23;5917636 508.41;;;
;18/05/2023; 208.83;5878290 994.56;;;
;17/05/2023; 207.86;5850828 556.52;;;
;16/05/2023; 208.12;5858358 066.99;;;
;15/05/2023; 208.98;5882566 454.56;;;
;12/05/2023; 208.43;5866944 689.86;;;
;11/05/2023; 207.47;5840205 244.76;;;
;10/05/2023; 207.30;5808149 146.03;;;
;09/05/2023; 208.09;5781112 146.35;;;
;08/05/2023; 208.65;5797044 478.84;;;
;05/05/2023; 207.82;5773950 152.35;;;
;04/05/2023; 205.46;5693996 184.61;;;
;03/05/2023; 206.31;5717776 689.52;;;
;02/05/2023; 205.65;5699384 484.63;;;
;28/04/2023; 208.06;5766327 737.38;;;
;27/04/2023; 206.74;5729779 383.64;;;
;26/04/2023; 206.27;5716720 592.53;;;
;25/04/2023; 207.87;5761227 490.36;;;
;24/04/2023; 208.61;5781474 038.79;;;
;21/04/2023; 208.37;5775085 565.99;;;
;20/04/2023; 207.65;5755004 953.22;;;
;19/04/2023; 207.93;5762587 056.69;;;
;18/04/2023; 208.13;5760075 534.70;;;
;17/04/2023; 207.33;5737872 340.24;;;
;14/04/2023; 207.34;5738029 409.64;;;
;13/04/2023; 206.09;5703561 731.76;;;
;12/04/2023; 205.22;5679396 058.83;;;
;11/04/2023; 204.89;5648763 762.19;;;
;06/04/2023; 203.62;5613631 392.56;;;
;05/04/2023; 202.48;5582169 168.78;;;
;04/04/2023; 202.76;5590063 238.33;;;
;03/04/2023; 202.92;5594582 318.35;;;
;31/03/2023; 202.95;5595349 713.19;;;
;30/03/2023; 201.60;5558105 436.43;;;
;29/03/2023; 199.42;5498109 566.93;;;
;28/03/2023; 196.83;5426652 166.70;;;
;27/03/2023; 196.96;5429952 432.29;;;
;24/03/2023; 194.89;5373060 247.94;;;
;23/03/2023; 197.53;5445986 424.57;;;
;22/03/2023; 197.90;5456268 851.65;;;
;21/03/2023; 197.57;5446998 809.05;;;
;20/03/2023; 194.96;5374993 434.67;;;
;17/03/2023; 193.09;5323297 915.60;;;
;16/03/2023; 195.42;5387669 951.05;;;
;15/03/2023; 192.97;5242542 169.77;;;
;14/03/2023; 198.78;5400801 708.75;;;
;13/03/2023; 195.79;5294167 553.73;;;
;10/03/2023; 200.64;5425158 913.82;;;
;09/03/2023; 203.41;5500357 407.12;;;
;08/03/2023; 203.73;5509070 788.11;;;
;07/03/2023; 203.54;5503987 643.56;;;
;06/03/2023; 205.13;5546784 048.30;;;
;03/03/2023; 205.18;5548111 499.93;;;
;02/03/2023; 203.29;5497153 719.64;;;
;01/03/2023; 202.15;5466321 389.84;;;
;28/02/2023; 203.65;5506659 833.14;;;
;27/02/2023; 204.29;5524060 571.51;;;
;24/02/2023; 202.15;5465984 261.67;;;
;23/02/2023; 204.29;5523807 189.55;;;
;22/02/2023; 204.03;5516980 139.50;;;
;21/02/2023; 204.70;5534864 937.90;;;
;20/02/2023; 205.11;5546116 561.34;;;
;17/02/2023; 204.95;5541952 756.99;;;
;16/02/2023; 205.37;5553336 570.83;;;
;15/02/2023; 204.93;5541299 063.00;;;
;14/02/2023; 204.06;5517811 692.76;;;
;13/02/2023; 203.91;5513688 098.54;;;
;10/02/2023; 202.09;5464351 455.50;;;
;09/02/2023; 204.00;5516124 919.89;;;
;08/02/2023; 202.74;5455882 247.01;;;
;07/02/2023; 202.19;5287741 062.61;;;
;06/02/2023; 201.74;5267855 828.68;;;
;03/02/2023; 203.33;5309612 346.40;;;
;02/02/2023; 202.65;5291511 388.49;;;
;01/02/2023; 199.91;5219952 646.48;;;
;31/01/2023; 199.95;5193125 650.71;;;
;30/01/2023; 200.47;5206491 072.15;;;
;27/01/2023; 200.84;5215989 736.11;;;
;26/01/2023; 200.28;5201608 149.35;;;
;25/01/2023; 199.45;5180137 074.85;;;
;24/01/2023; 200.03;5195038 268.48;;;
;23/01/2023; 200.53;5207845 117.25;;;
;20/01/2023; 199.43;5179388 123.29;;;
;19/01/2023; 198.70;5160237 804.51;;;
;18/01/2023; 201.84;5241788 195.24;;;
;17/01/2023; 201.36;5229460 279.57;;;
;16/01/2023; 200.56;5209036 892.55;;;
;13/01/2023; 199.62;5184654 522.79;;;
;12/01/2023; 198.60;5158164 918.86;;;
;11/01/2023; 197.35;5125635 996.90;;;
;10/01/2023; 196.58;5105332 461.93;;;
;09/01/2023; 197.77;5136204 182.93;;;
;06/01/2023; 195.99;5090015 279.00;;;
;05/01/2023; 193.73;5031422 696.64;;;
;04/01/2023; 194.10;5040808 515.62;;;
;03/01/2023; 191.43;4971536 949.05;;;
;02/01/2023; 189.13;4911901 500.77;;;
;30/12/2022; 187.29;4864228 740.94;;;
;29/12/2022; 189.70;4926712 832.51;;;
;28/12/2022; 188.42;4893294 337.66;;;
;27/12/2022; 188.66;4899786 087.39;;;
;23/12/2022; 188.43;4893545 272.80;;;
;22/12/2022; 188.33;4890859 290.13;;;
;21/12/2022; 190.15;4938159 937.78;;;
;20/12/2022; 186.95;4823293 946.01;;;
;19/12/2022; 187.70;4842529 197.64;;;
;16/12/2022; 187.18;4829257 053.54;;;
;15/12/2022; 189.47;4888249 132.55;;;
;14/12/2022; 195.04;4952586 357.46;;;
;13/12/2022; 195.10;4954025 098.83;;;
;12/12/2022; 192.58;4890109 119.02;;;
;09/12/2022; 193.53;4914250 657.97;;;
;08/12/2022; 191.91;4873217 095.40;;;
;07/12/2022; 192.24;4881451 126.43;;;
;06/12/2022; 193.43;4912363 462.75;;;
;05/12/2022; 194.56;4940972 218.00;;;
;02/12/2022; 195.34;4960708 359.00;;;
;01/12/2022; 195.63;4967940 446.97;;;
;30/11/2022; 193.84;4922858 736.84;;;
;29/11/2022; 192.64;4892178 544.04;;;
;28/11/2022; 192.89;4898500 200.51;;;
;25/11/2022; 194.16;4930847 417.60;;;
;24/11/2022; 194.21;4931891 000.83;;;
;23/11/2022; 193.25;4907488 841.68;;;
;22/11/2022; 192.09;4878342 360.21;;;
;21/11/2022; 190.72;4843733 278.31;;;
;18/11/2022; 190.79;4845523 756.71;;;
;17/11/2022; 188.62;4790559 252.14;;;
;16/11/2022; 189.38;4809531 271.60;;;
;15/11/2022; 191.29;4858015 924.60;;;
;14/11/2022; 190.60;4840606 179.12;;;
;11/11/2022; 190.35;4834280 379.68;;;
;10/11/2022; 190.13;4828682 899.32;;;
;09/11/2022; 184.94;4697107 367.00;;;
;08/11/2022; 185.51;4711391 401.51;;;
;07/11/2022; 184.06;4674491 474.56;;;
;04/11/2022; 183.45;4659161 498.17;;;
;03/11/2022; 180.13;4574866 707.78;;;
;02/11/2022; 181.82;4629748 378.33;;;
;01/11/2022; 182.36;4643638 921.02;;;
;31/10/2022; 181.29;4616422 874.21;;;
;28/10/2022; 180.63;4599520 774.64;;;
;27/10/2022; 180.39;4593554 211.52;;;
;26/10/2022; 180.43;4594578 515.49;;;
;25/10/2022; 179.23;4564105 835.65;;;
;24/10/2022; 176.68;4499280 844.62;;;
;21/10/2022; 174.23;4436843 862.19;;;
;20/10/2022; 175.31;4464370 662.07;;;
;19/10/2022; 174.86;4452788 975.79;;;
;18/10/2022; 175.80;4476800 742.69;;;
;17/10/2022; 175.19;4461061 672.82;;;
;14/10/2022; 172.03;4380745 707.67;;;
;13/10/2022; 171.05;4355749 761.56;;;
;12/10/2022; 169.59;4318580 169.89;;;
;11/10/2022; 170.50;4341800 639.76;;;
;10/10/2022; 171.47;4366472 310.53;;;
;07/10/2022; 172.13;4383322 578.32;;;
;06/10/2022; 174.21;4436430 883.71;;;
;05/10/2022; 175.32;4464437 546.52;;;
;04/10/2022; 177.14;4510793 612.34;;;
;03/10/2022; 171.75;4373518 759.66;;;
;30/09/2022; 170.45;4340338 648.79;;;
;29/09/2022; 168.22;4283739 110.94;;;
;28/09/2022; 171.08;4356612 869.43;;;
;27/09/2022; 170.56;4343306 454.76;;;
;26/09/2022; 170.79;4349207 524.18;;;
;23/09/2022; 171.53;4368136 518.61;;;
;22/09/2022; 175.63;4472118 644.47;;;
;21/09/2022; 178.85;4553964 531.45;;;
;20/09/2022; 177.21;4512521 248.78;;;
;19/09/2022; 179.19;4563061 457.47;;;
;16/09/2022; 179.35;4567010 323.25;;;
;15/09/2022; 182.23;4640021 690.89;;;
;14/09/2022; 183.41;4670138 980.13;;;
;13/09/2022; 185.01;4710988 894.79;;;
;12/09/2022; 187.93;4785274 539.59;;;
;09/09/2022; 184.69;4702772 264.82;;;
;08/09/2022; 181.92;4632342 747.62;;;
;07/09/2022; 181.00;4608995 629.78;;;
;06/09/2022; 182.03;4635068 797.47;;;
;05/09/2022; 181.60;4623977 004.09;;;
;02/09/2022; 182.76;4653699 909.57;;;
;01/09/2022; 179.08;4560096 008.33;;;
;31/08/2022; 182.32;4642682 030.01;;;
;30/08/2022; 184.38;4694681 523.42;;;
;29/08/2022; 185.60;4725710 340.91;;;
;26/08/2022; 187.11;4763877 677.78;;;
;25/08/2022; 190.31;4845220 004.10;;;
;24/08/2022; 189.70;4829693 552.83;;;
;23/08/2022; 189.39;4821770 234.14;;;
;22/08/2022; 190.19;4842284 586.94;;;
;19/08/2022; 192.05;4889666 909.26;;;
;18/08/2022; 193.55;4927777 642.20;;;
;17/08/2022; 192.66;4905229 063.04;;;
;16/08/2022; 194.44;4950490 209.25;;;
;15/08/2022; 194.14;4942790 527.99;;;
;12/08/2022; 193.49;4926172 872.07;;;
;11/08/2022; 193.14;4917386 053.60;;;
;10/08/2022; 192.86;4910156 038.14;;;
;09/08/2022; 191.09;4865346 997.17;;;
;08/08/2022; 192.40;4898558 083.08;;;
;05/08/2022; 190.98;4862509 178.50;;;
;04/08/2022; 192.44;4899477 975.97;;;
;03/08/2022; 192.01;4888603 565.91;;;
;02/08/2022; 191.03;4863506 117.04;;;
;01/08/2022; 191.64;4879048 300.08;;;
;29/07/2022; 192.03;4888953 510.12;;;
;28/07/2022; 189.58;4826563 734.72;;;
;27/07/2022; 187.51;4774033 168.58;;;
;26/07/2022; 186.62;4751499 774.50;;;
;25/07/2022; 186.69;4753412 551.29;;;
;22/07/2022; 186.46;4747526 292.86;;;
;21/07/2022; 185.86;4732358 341.87;;;
;20/07/2022; 184.99;4843136 227.60;;;
;19/07/2022; 185.37;4853214 706.70;;;
;18/07/2022; 182.84;4786793 070.88;;;
;15/07/2022; 181.13;4742164 722.59;;;
;14/07/2022; 177.95;4658735 612.20;;;
;13/07/2022; 180.70;4730897 354.82;;;
;12/07/2022; 182.55;4779306 772.70;;;
;11/07/2022; 181.67;4756337 025.07;;;
;08/07/2022; 182.59;4780410 696.43;;;
;07/07/2022; 181.63;4820671 117.24;;;
;06/07/2022; 178.23;4801938 114.66;;;
;05/07/2022; 175.30;4725158 388.90;;;
;04/07/2022; 179.02;4825532 953.10;;;
;01/07/2022; 178.06;4954450 227.65;;;
;30/06/2022; 178.07;4954658 895.58;;;
;29/06/2022; 180.77;5029959 017.76;;;
;28/06/2022; 181.97;5063292 533.46;;;
;27/06/2022; 181.50;5050181 073.01;;;
;24/06/2022; 180.54;5023580 936.19;;;
;23/06/2022; 175.94;4895438 631.58;;;
;22/06/2022; 177.38;4935804 460.75;;;
;21/06/2022; 178.63;4970580 836.50;;;
;20/06/2022; 177.97;4952160 160.91;;;
;17/06/2022; 176.26;4904597 790.39;;;
;16/06/2022; 176.10;4900058 642.42;;;
;15/06/2022; 180.57;4988039 415.06;;;
;14/06/2022; 178.06;4918743 702.49;;;
;13/06/2022; 180.33;4981314 004.95;;;
;10/06/2022; 184.79;5079376 133.07;;;
;09/06/2022; 189.90;5252090 688.92;;;
;08/06/2022; 192.49;5232194 457.23;;;
;07/06/2022; 193.59;5232194 457.23;;;
;06/06/2022; 194.10;5246029 167.90;;;
;03/06/2022; 192.32;5198050 048.68;;;
;02/06/2022; 192.82;5211520 538.27;;;
;01/06/2022; 191.71;5181389 027.40;;;
;31/05/2022; 193.65;5233763 615.65;;;
;30/05/2022; 195.06;5271896 503.33;;;
;27/05/2022; 193.84;5238784 974.15;;;
;26/05/2022; 191.10;5164892 024.54;;;
;25/05/2022; 189.60;5094091 729.55;;;
;24/05/2022; 188.38;5061231 147.55;;;
;23/05/2022; 190.55;5119523 335.57;;;
;20/05/2022; 187.96;5049960 135.02;;;
;19/05/2022; 186.59;5013077 149.18;;;
;18/05/2022; 189.02;5078441 365.49;;;
;17/05/2022; 191.21;5137252 433.06;;;
;16/05/2022; 188.85;5070397 057.93;;;
;13/05/2022; 188.72;5070397 057.93;;;
;12/05/2022; 184.69;4962253 695.50;;;
;11/05/2022; 185.97;4996822 139.22;;;
;10/05/2022; 182.78;4911053 292.08;;;
;09/05/2022; 181.50;4876815 742.90;;;
;06/05/2022; 186.85;5020399 988.27;;;
;05/05/2022; 190.32;5113532 876.83;;;
;04/05/2022; 191.58;5147195 886.12;;;
;03/05/2022; 193.65;5202658 215.80;;;
;02/05/2022; 192.55;5173005 431.85;;;
;29/04/2022; 195.22;5244510 644.97;;;
;28/04/2022; 193.71;5204098 617.02;;;
;27/04/2022; 192.42;5169495 794.10;;;
;26/04/2022; 190.94;5129797 377.43;;;
;25/04/2022; 192.59;5174002 490.71;;;
;22/04/2022; 196.09;5268122 372.93;;;
;21/04/2022; 199.65;5363477 547.38;;;
;20/04/2022; 198.94;5258346 676.06;;;
;19/04/2022; 197.30;5196204 961.47;;;
;14/04/2022; 198.68;5232554 736.19;;;
;13/04/2022; 197.34;5197179 708.51;;;
;12/04/2022; 197.28;5099900 091.28;;;
;11/04/2022; 197.95;5104655 608.79;;;
;08/04/2022; 199.02;5132060 892.81;;;
;07/04/2022; 196.36;4478474 237.66;;;
;06/04/2022; 196.64;4484884 188.03;;;
;05/04/2022; 199.68;4553961 528.88;;;
;04/04/2022; 199.29;4545227 755.59;;;
;01/04/2022; 197.62;4507421 314.40;;;
;31/03/2022; 196.53;4482646 555.31;;;
;30/03/2022; 198.34;4524019 189.33;;;
;29/03/2022; 199.14;4542163 048.79;;;
;28/03/2022; 195.72;4464082 583.20;;;
;25/03/2022; 195.43;4457231 524.04;;;
;24/03/2022; 195.15;4450982 896.15;;;
;23/03/2022; 195.50;4459016 635.09;;;
;22/03/2022; 197.47;4503880 703.16;;;
;21/03/2022; 195.78;4457576 545.17;;;
;18/03/2022; 195.69;4455658 825.13;;;
;17/03/2022; 193.90;4415180 488.90;;;
;16/03/2022; 192.90;4379629 919.35;;;
;15/03/2022; 187.13;4164575 636.86;;;
;14/03/2022; 187.66;4144320 031.59;;;
;11/03/2022; 185.43;4095099 306.18;;;
;10/03/2022; 183.69;3942324 347.35;;;
;09/03/2022; 186.66;4006154 215.95;;;
;08/03/2022; 178.32;3693070 114.64;;;
;07/03/2022; 179.13;3709847 900.39;;;
;04/03/2022; 181.13;3751122 558.59;;;
;03/03/2022; 187.82;3695498 003.07;;;
;02/03/2022; 191.65;3770956 054.69;;;
;01/03/2022; 189.94;3594337 402.34;;;
;28/02/2022; 194.54;3631643 066.41;;;
;25/02/2022; 194.72;3635152 878.19;;;
;24/02/2022; 188.47;3518296 781.20;;;
;23/02/2022; 194.74;3635327 047.44;;;
;22/02/2022; 195.28;3645557 009.53;;;
;21/02/2022; 195.15;3642983 792.02;;;
;18/02/2022; 197.72;3691172 260.73;;;
;17/02/2022; 199.32;3721029 400.77;;;
;16/02/2022; 200.64;3745660 672.70;;;
;15/02/2022; 200.55;3744023 541.46;;;
;14/02/2022; 197.72;3691131 184.53;;;
;11/02/2022; 201.41;3725993 244.78;;;
;10/02/2022; 202.56;3747252 423.25;;;
;09/02/2022; 202.98;3739803 209.12;;;
;08/02/2022; 199.55;3672621 731.39;;;
;07/02/2022; 199.52;3672218 666.39;;;
;04/02/2022; 198.18;3647481 963.16;;;
;03/02/2022; 200.97;3682495 353.49;;;
;02/02/2022; 204.58;3748272 557.78;;;
;01/02/2022; 203.66;3725348 950.65;;;
;31/01/2022; 201.09;3632281 089.36;;;
;28/01/2022; 199.66;3594475 815.41;;;
;27/01/2022; 201.71;3631299 056.03;;;
;26/01/2022; 200.41;3607907 533.62;;;
;25/01/2022; 197.10;3510877 506.20;;;
;24/01/2022; 195.71;3486191 849.56;;;
;21/01/2022; 203.44;3623707 409.74;;;
;20/01/2022; 207.25;3691540 018.33;;;
;19/01/2022; 206.19;3662451 938.68;;;
;18/01/2022; 205.71;3654003 085.82;;;
;17/01/2022; 207.74;3678763 164.45;;;
;14/01/2022; 206.30;3632667 769.25;;;
;13/01/2022; 208.40;3669582 115.52;;;
;12/01/2022; 208.45;3597501 324.33;;;
;11/01/2022; 207.11;3554760 651.81;;;
;10/01/2022; 205.38;3525081 234.38;;;
;07/01/2022; 208.45;3570484 033.64;;;
;06/01/2022; 209.26;3584317 570.47;;;
;05/01/2022; 211.91;3621218 948.56;;;
;04/01/2022; 211.77;3618750 444.96;;;
;03/01/2022; 210.05;3589427 630.02;;;
;31/12/2021; 209.06;3572622 471.02;;;
;30/12/2021; 209.46;3579417 730.52;;;
;29/12/2021; 209.14;3565621 245.56;;;
;28/12/2021; 209.37;3569489 367.40;;;
;27/12/2021; 208.07;3547462 102.69;;;
;24/12/2021; 206.80;3525812 569.69;;;
;23/12/2021; 207.01;3520072 015.54;;;
;22/12/2021; 204.98;3485752 451.86;;;
;21/12/2021; 203.09;3453697 919.94;;;
;20/12/2021; 200.24;3405194 578.86;;;
;17/12/2021; 203.05;3452932 227.34;;;
;16/12/2021; 204.19;3472291 836.01;;;
;15/12/2021; 201.70;3429995 077.94;;;
;14/12/2021; 201.18;3404098 933.46;;;
;13/12/2021; 202.89;3422788 791.36;;;
;10/12/2021; 203.74;3437226 702.71;;;
;09/12/2021; 204.35;3444986 032.24;;;
;08/12/2021; 204.51;3433428 284.97;;;
;07/12/2021; 205.73;3378908 709.94;;;
;06/12/2021; 200.82;3298463 159.62;;;
;03/12/2021; 198.26;3256311 400.40;;;
;02/12/2021; 199.40;3230113 774.57;;;
;01/12/2021; 201.69;3267219 325.52;;;
;30/11/2021; 198.29;3212229 827.27;;;
;29/11/2021; 200.11;3241596 269.11;;;
;26/11/2021; 198.74;3219437 038.27;;;
;25/11/2021; 206.32;3342082 401.57;;;
;24/11/2021; 205.41;3327259 984.70;;;
;23/11/2021; 205.22;3298726 935.55;;;
;22/11/2021; 207.88;3341438 965.08;;;
;19/11/2021; 208.09;3344788 839.22;;;
;18/11/2021; 208.77;3355875 229.26;;;
;17/11/2021; 209.72;3370946 612.05;;;
;16/11/2021; 209.42;3366258 595.40;;;
;15/11/2021; 209.05;3360362 655.28;;;
;12/11/2021; 208.30;3348491 540.56;;;
;11/11/2021; 207.67;3338368 953.38;;;
;10/11/2021; 206.97;3327146 725.52;;;
;09/11/2021; 206.53;3319980 990.24;;;
;08/11/2021; 206.91;3310614 248.23;;;
;05/11/2021; 206.85;3309699 408.05;;;
;04/11/2021; 206.74;3307868 979.65;;;
;03/11/2021; 205.87;3293829 192.15;;;
;02/11/2021; 205.14;3282239 181.06;;;
;01/11/2021; 204.85;3277449 567.14;;;
;29/10/2021; 203.41;3254488 662.76;;;
;28/10/2021; 203.22;3216990 729.70;;;
;27/10/2021; 202.72;3208970 161.20;;;
;26/10/2021; 203.44;3220396 650.29;;;
;25/10/2021; 201.93;3196537 597.02;;;
;22/10/2021; 201.79;3194267 945.32;;;
;21/10/2021; 200.85;3162366 914.98;;;
;20/10/2021; 200.99;3164582 682.92;;;
;19/10/2021; 200.36;3140348 882.89;;;
;18/10/2021; 199.70;3130042 507.34;;;
;15/10/2021; 200.66;3145097 470.87;;;
;14/10/2021; 199.18;3121863 233.59;;;
;13/10/2021; 196.80;3084624 530.10;;;
;12/10/2021; 195.44;3063338 834.24;;;
;11/10/2021; 195.58;3065499 919.16;;;
;08/10/2021; 195.47;3063870 686.57;;;
;07/10/2021; 196.01;3072296 614.98;;;
;06/10/2021; 192.90;3023600 706.25;;;
;05/10/2021; 194.90;3038412 624.91;;;
;04/10/2021; 192.65;3003303 440.43;;;
;01/10/2021; 193.49;3016543 516.46;;;
;30/09/2021; 194.29;3029020 908.41;;;
;29/09/2021; 194.34;3029949 298.52;;;
;28/09/2021; 193.20;3012083 310.40;;;
;27/09/2021; 197.47;3078524 640.36;;;
;24/09/2021; 197.83;3084253 399.33;;;
;23/09/2021; 199.63;3112236 160.51;;;
;22/09/2021; 197.78;3049908 096.81;;;
;21/09/2021; 195.85;3020096 298.08;;;
;20/09/2021; 193.76;2974282 368.59;;;
;17/09/2021; 197.01;3024174 736.94;;;
;16/09/2021; 198.77;3051139 464.48;;;
;15/09/2021; 197.89;3036499 552.03;;;
;14/09/2021; 199.49;3060978 729.67;;;
;13/09/2021; 199.50;3061141 545.69;;;
;10/09/2021; 198.92;3052280 281.65;;;
;09/09/2021; 199.44;3054553 247.38;;;
;08/09/2021; 199.56;3056379 952.83;;;
;07/09/2021; 201.69;3088982 972.14;;;
;06/09/2021; 202.68;3104135 298.77;;;
;03/09/2021; 201.29;3082839 722.39;;;
;02/09/2021; 202.42;3093132 832.25;;;
;01/09/2021; 201.70;3082157 726.70;;;
;31/08/2021; 200.74;3067459 213.57;;;
;30/08/2021; 201.51;3079179 360.91;;;
;27/08/2021; 201.37;3076946 512.70;;;
;26/08/2021; 200.51;3063940 956.60;;;
;25/08/2021; 201.12;3073159 269.22;;;
;24/08/2021; 201.10;3072788 801.90;;;
;23/08/2021; 201.13;3073339 669.46;;;
;20/08/2021; 199.82;2997433 857.15;;;
;19/08/2021; 199.16;2987393 857.96;;;
;18/08/2021; 202.11;3031648 283.43;;;
;17/08/2021; 201.84;3014574 545.36;;;
;16/08/2021; 201.70;3012444 360.28;;;
;13/08/2021; 202.70;3027421 610.77;;;
;12/08/2021; 202.27;3005862 605.12;;;
;11/08/2021; 201.90;3000289 828.97;;;
;10/08/2021; 201.04;2987616 134.81;;;
;09/08/2021; 200.34;2977254 944.80;;;
;06/08/2021; 200.05;2972777 616.20;;;
;05/08/2021; 200.04;2972710 664.61;;;
;04/08/2021; 199.24;2960820 138.88;;;
;03/08/2021; 198.03;2933006 622.56;;;
;02/08/2021; 197.64;2927178 659.94;;;
;30/07/2021; 196.49;2894992 049.83;;;
;29/07/2021; 197.38;2907032 293.66;;;
;28/07/2021; 196.45;2893426 620.72;;;
;27/07/2021; 195.15;2854900 769.52;;;
;26/07/2021; 196.22;2870468 114.18;;;
;23/07/2021; 196.37;2872781 688.75;;;
;22/07/2021; 194.23;2841492 518.37;;;
;21/07/2021; 193.13;2825507 087.93;;;
;20/07/2021; 190.00;2779657 228.66;;;
;19/07/2021; 189.01;2765199 231.70;;;
;16/07/2021; 193.43;2818043 783.02;;;
;15/07/2021; 194.06;2827064 131.15;;;
;14/07/2021; 195.91;2854083 292.65;;;
;13/07/2021; 196.08;2856557 211.64;;;
;12/07/2021; 196.03;2855807 544.82;;;
;09/07/2021; 194.68;2836171 359.82;;;
;08/07/2021; 192.10;2795329 026.28;;;
;07/07/2021; 195.41;2843508 550.33;;;
;06/07/2021; 193.89;2821912 726.55;;;
;05/07/2021; 194.90;2836611 856.51;;;
;02/07/2021; 194.22;2826781 835.24;;;
;01/07/2021; 193.71;2819414 749.82;;;
;30/06/2021; 192.51;2775541 913.14;;;
;29/06/2021; 193.99;2796861 557.93;;;
;28/06/2021; 193.37;2787968 540.20;;;
;25/06/2021; 194.52;2804475 596.22;;;
